message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,notify,personal,Standard message requiring contextual analysis.,0.68,message_0243;message_0101
msg_091,mute,scam,"High scam indicator score: phishing, credential theft, or social engineering patterns detected.",0.97,message_0086;message_0143
msg_090,notify,personal,Standard message requiring contextual analysis.,0.75,message_0045;message_0173
msg_048,mute,spam,"High scam indicator score: phishing, credential theft, or social engineering patterns detected.",0.97,message_0100;message_0140
msg_040,mute,greeting,Highly forwarded chain message or viral spam with no personal relevance.,0.94,message_0077;message_0040
msg_075,notify,personal,Standard message requiring contextual analysis.,0.68,message_0206;message_0205
msg_005,notify,personal,Standard message requiring contextual analysis.,0.68,message_0115;message_0143
msg_104,notify,personal,Standard message requiring contextual analysis.,0.75,message_0115;message_0082
msg_069,mute,greeting,Highly forwarded chain message or viral spam with no personal relevance.,0.94,message_0077;message_0040
msg_107,mute,scam,Prompt injection attack detected: message attempts to manipulate the notification router.,0.98,message_0045;message_0173
msg_070,mute,scam,"High scam indicator score: phishing, credential theft, or social engineering patterns detected.",0.97,message_0115;message_0143
msg_003,notify,business_update,Legitimate order fulfillment or delivery status notification.,0.91,message_0239;message_0004
msg_099,notify,personal,Standard message requiring contextual analysis.,0.75,message_0117;message_0249
msg_008,mute,promotion,Commercial marketing offer from a business account.,0.83,message_0071;message_0072
msg_092,digest,payment,Legitimate financial transaction or payment notification.,0.88,none
msg_060,notify,personal,Standard message requiring contextual analysis.,0.68,message_0176;message_0082
msg_004,notify,personal,Standard message requiring contextual analysis.,0.68,message_0063;message_0005
msg_030,notify,personal,Standard message requiring contextual analysis.,0.68,message_0115;message_0143
msg_045,notify,personal,Standard message requiring contextual analysis.,0.68,message_0069;message_0008
msg_052,mute,spam,"High scam indicator score: phishing, credential theft, or social engineering patterns detected.",0.97,message_0208;message_0160
msg_009,notify,personal,Standard message requiring contextual analysis.,0.68,message_0313;message_0074
msg_071,notify,personal,Standard message requiring contextual analysis.,0.68,message_0198;message_0016
msg_016,mute,scam,"High scam indicator score: phishing, credential theft, or social engineering patterns detected.",0.97,message_0115;message_0143
msg_065,mute,promotion,Commercial marketing offer from a business account.,0.91,message_0261;message_0336
msg_038,mute,greeting,Highly forwarded chain message or viral spam with no personal relevance.,0.94,message_0020;message_0132
msg_086,notify,personal,Standard message requiring contextual analysis.,0.68,message_0396;message_0112
msg_014,mute,promotion,Commercial marketing offer from a business account.,0.91,message_0084;message_0305
msg_094,mute,promotion,Commercial marketing offer from a business account.,0.91,none
msg_029,mute,forward,Highly forwarded chain message or viral spam with no personal relevance.,0.94,message_0115;message_0143
msg_105,mute,forward,Highly forwarded chain message or viral spam with no personal relevance.,0.94,message_0132;message_0016
msg_002,notify,personal,Message directly mentions or is addressed to the user.,0.85,message_0117;message_0249
msg_010,notify,personal,Standard message requiring contextual analysis.,0.68,message_0075;message_0242
msg_078,mute,scam,"High scam indicator score: phishing, credential theft, or social engineering patterns detected.",0.97,message_0115;message_0143
msg_013,notify,personal,Standard message requiring contextual analysis.,0.68,message_0176;message_0082
msg_018,mute,forward,Highly forwarded chain message or viral spam with no personal relevance.,0.94,message_0115;message_0143
msg_044,notify,personal,Standard message requiring contextual analysis.,0.68,message_0115;message_0143
msg_032,notify,personal,Standard message requiring contextual analysis.,0.68,message_0285;message_0355
msg_106,notify,personal,Standard message requiring contextual analysis.,0.75,message_0340;message_0388
msg_006,notify,personal,Standard message requiring contextual analysis.,0.68,message_0180;message_0015
msg_109,mute,scam,Prompt injection attack detected: message attempts to manipulate the notification router.,0.98,message_0100;message_0140
msg_108,mute,scam,Prompt injection attack detected: message attempts to manipulate the notification router.,0.98,message_0236;message_0093
msg_019,mute,promotion,Commercial marketing offer from a business account.,0.83,message_0236;message_0093
msg_088,notify,personal,Standard message requiring contextual analysis.,0.68,message_0115;message_0143
msg_056,notify,personal,Message directly mentions or is addressed to the user.,0.85,message_0077;message_0040
msg_027,mute,promotion,Commercial marketing offer from a business account.,0.91,message_0396;message_0112
msg_050,notify,personal,Standard message requiring contextual analysis.,0.68,message_0279;message_0156
msg_083,notify,personal,Standard message requiring contextual analysis.,0.68,message_0117;message_0249
