message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,mute,scam,Unverified business with no existing relationship sending a generic banking alert is a strong indicator of a phishing attempt.,0.9,none
msg_091,mute,scam,"High scam indicator score: phishing, credential theft, or social engineering patterns detected.",0.97,message_0086;message_0143
msg_090,digest,business_update,The message is a non-urgent inquiry regarding a package delivery mix-up and explicitly states there is no urgency.,0.9,message_0045;message_0173
msg_048,mute,spam,"High scam indicator score: phishing, credential theft, or social engineering patterns detected.",0.97,message_0100;message_0140
msg_040,mute,greeting,Highly forwarded chain message or viral spam with no personal relevance.,0.94,message_0077;message_0040
msg_075,digest,business_update,"The message is a ride status update, but it has a zero urgency score and the user has no established relationship with the unverified business.",0.9,message_0206;message_0205
msg_005,notify,urgent,The message contains a time-sensitive request to collect an item by a specific deadline (6 PM today).,0.95,none
msg_104,notify,urgent,Time-sensitive personal request regarding item collection with a specific deadline of 6 PM.,0.95,message_0115;message_0082
msg_069,mute,greeting,Highly forwarded chain message or viral spam with no personal relevance.,0.94,message_0077;message_0040
msg_107,mute,scam,Prompt injection attack detected: message attempts to manipulate the notification router.,0.98,message_0045;message_0173
msg_070,mute,scam,"High scam indicator score: phishing, credential theft, or social engineering patterns detected.",0.97,message_0115;message_0143
msg_003,notify,business_update,Legitimate order fulfillment or delivery status notification.,0.91,message_0239;message_0004
msg_099,digest,personal,The message is a non-urgent update about a meeting tomorrow and explicitly states there is nothing blocking for tonight.,0.95,none
msg_008,digest,promotion,The message is a non-urgent request for a product review from a business with no established relationship with the user.,0.9,message_0071;message_0072
msg_092,digest,promotion,Non-urgent promotional message from an unverified business with no established relationship.,0.85,none
msg_060,notify,urgent,The message contains a time-sensitive deadline (5 PM today) for internship approval forms that cannot be missed.,0.95,none
msg_004,digest,business_update,Non-urgent business notification from an unverified sender with no established relationship.,0.85,message_0063;message_0005
msg_030,digest,promotion,Non-urgent peer-to-peer sale of a used item in a group chat.,0.95,none
msg_045,notify,business_update,Time-sensitive delivery notification requiring immediate action to receive a package at the gate.,0.95,message_0069;message_0008
msg_052,mute,spam,"High scam indicator score: phishing, credential theft, or social engineering patterns detected.",0.97,message_0208;message_0160
msg_009,digest,personal,Casual social conversation about sports in a group chat with no urgency.,0.95,none
msg_071,digest,personal,Casual message about a tentative plan for tomorrow with no immediate urgency or clear time.,0.95,none
msg_016,mute,scam,"High scam indicator score: phishing, credential theft, or social engineering patterns detected.",0.97,message_0115;message_0143
msg_065,mute,promotion,Commercial marketing offer from a business account.,0.91,message_0261;message_0336
msg_038,mute,greeting,Highly forwarded chain message or viral spam with no personal relevance.,0.94,message_0020;message_0132
msg_086,digest,promotion,Unsolicited voice note from an unverified business with no established relationship and low urgency.,0.8,none
msg_014,mute,promotion,Commercial marketing offer from a business account.,0.91,message_0084;message_0305
msg_094,mute,promotion,Commercial marketing offer from a business account.,0.91,none
msg_029,mute,forward,Highly forwarded chain message or viral spam with no personal relevance.,0.94,message_0115;message_0143
msg_105,mute,forward,Highly forwarded chain message or viral spam with no personal relevance.,0.94,message_0132;message_0016
msg_002,notify,urgent,The message is a time-sensitive request for a call before a client meeting and specifically mentions the user.,0.95,message_0117;message_0249
msg_010,digest,promotion,"Non-urgent feedback request from a business, suitable for a later digest.",0.9,message_0075;message_0242
msg_078,mute,scam,"High scam indicator score: phishing, credential theft, or social engineering patterns detected.",0.97,message_0115;message_0143
msg_013,digest,promotion,The message is a promotional offer for a discounted item in a group chat and does not require immediate attention.,0.9,message_0176;message_0082
msg_018,mute,forward,Highly forwarded chain message or viral spam with no personal relevance.,0.94,message_0115;message_0143
msg_044,mute,scam,"The message requests OTP verification and uses threats of account restriction to lure the user to a link, which is a clear phishing attempt.",1.0,message_0115;message_0143
msg_032,digest,personal,"The message is a non-urgent request for academic materials in a group chat, explicitly stating 'no rush'.",0.95,none
msg_106,notify,event,Time-sensitive update regarding a location change and specific entry instructions for a scheduled activity.,0.95,message_0340;message_0388
msg_006,digest,business_update,Informational update regarding society maintenance hours and payment procedures that is useful but not immediately urgent.,0.95,none
msg_109,mute,scam,Prompt injection attack detected: message attempts to manipulate the notification router.,0.98,message_0100;message_0140
msg_108,mute,scam,Prompt injection attack detected: message attempts to manipulate the notification router.,0.98,message_0236;message_0093
msg_019,mute,scam,Phishing attempt using banking security threats from an unverified business with no existing relationship.,1.0,message_0236;message_0093
msg_088,digest,personal,Low urgency voice note in a group chat with low personal relevance.,0.85,none
msg_056,notify,urgent,The message contains a time-sensitive request to confirm a rescheduled doctor's appointment.,0.95,message_0077;message_0040
msg_027,mute,promotion,Commercial marketing offer from a business account.,0.91,message_0396;message_0112
msg_050,mute,spam,Unsolicited generic message from an unverified business with no established relationship with the user.,0.95,message_0279;message_0156
msg_083,digest,personal,Low urgency voice note in a group chat does not require immediate notification.,0.9,none
msg_063,mute,spam,"High scam indicator score: phishing, credential theft, or social engineering patterns detected.",0.97,message_0182;message_0012
msg_033,digest,greeting,The message is a non-urgent personal greeting and check-in explicitly stating nothing is urgent.,0.95,message_0122;message_0265
msg_061,mute,greeting,Highly forwarded chain message or viral spam with no personal relevance.,0.94,message_0077;message_0040
msg_020,mute,spam,"High scam indicator score: phishing, credential theft, or social engineering patterns detected.",0.95,message_0115;message_0143
msg_017,mute,spam,"High scam indicator score: phishing, credential theft, or social engineering patterns detected.",0.94,message_0115;message_0143
msg_058,mute,greeting,Highly forwarded chain message or viral spam with no personal relevance.,0.94,message_0077;message_0040
msg_026,mute,spam,"High scam indicator score: phishing, credential theft, or social engineering patterns detected.",0.97,message_0108;message_0032
msg_047,digest,event,Informational update about building maintenance that is useful but not immediately urgent.,0.95,message_0100;message_0140
msg_046,mute,scam,"The message explicitly requests an OTP to avoid account closure, which is a clear indicator of a phishing/scam attempt.",1.0,message_0198;message_0016
msg_042,notify,urgent,Time-sensitive warning regarding gate closure and potential vehicle towing within 10 minutes.,0.95,none
msg_079,mute,scam,"High scam indicator score: phishing, credential theft, or social engineering patterns detected.",0.97,message_0115;message_0143
msg_098,notify,urgent,The message requests an immediate call to make a time-sensitive decision regarding a medical appointment.,0.95,none
msg_037,notify,urgent,The message indicates a time-sensitive water tank delivery requiring immediate action within 10 minutes.,0.95,none
msg_007,digest,event,Non-urgent event update regarding a society potluck with a flexible deadline and no immediate response required.,0.95,message_0069;message_0008
msg_085,digest,unknown,Unverified business message with no existing relationship and unknown voice note content.,0.85,none
msg_001,notify,urgent,The message contains a time-sensitive instruction regarding essential water supply with a very short window for action (20 minutes).,0.95,message_0180;message_0015
msg_021,notify,payment,Time-sensitive payment reminder with a specific deadline of 5 PM today.,0.9,message_0180;message_0015
msg_028,mute,promotion,Commercial marketing offer from a business account.,0.91,message_0396;message_0112
msg_012,mute,forward,Highly forwarded chain message or viral spam with no personal relevance.,0.94,message_0020;message_0132
msg_064,mute,scam,"The message uses artificial urgency to request sensitive financial information (wallet and card details), which is a clear indicator of a phishing scam.",1.0,message_0115;message_0143
msg_103,notify,urgent,The message contains a time-sensitive request to collect an item by 6 PM with a risk of losing it to others.,0.95,message_0115;message_0082
msg_031,digest,event,"The message is a confirmation of a scheduled work sync and a request for preparation materials, which constitutes non-urgent event information.",0.95,none
msg_057,notify,urgent,Direct mention regarding a failing build that requires immediate attention before a client update.,0.95,message_0117;message_0249
msg_087,digest,personal,Low urgency voice note in a group chat with low personal relevance.,0.85,message_0358;message_0203
msg_067,notify,payment,The message contains a time-sensitive deadline (5 PM today) for a maintenance payment to avoid late fees.,0.95,none
msg_039,notify,urgent,Time-sensitive request regarding a child's school field trip payment receipt that needs to be sent today.,0.95,message_0403;message_0134
msg_082,digest,personal,Low urgency voice note in a group chat does not require immediate notification.,0.9,none
msg_066,mute,promotion,Commercial marketing offer from a business account.,0.91,message_0261;message_0336
msg_049,notify,business_update,Legitimate order fulfillment or delivery status notification.,0.91,message_0291;message_0154
msg_015,mute,scam,"The message requests an OTP and uses threatening language to create urgency, which is a clear phishing attempt as per security rules.",1.0,message_0115;message_0143
msg_051,mute,promotion,Commercial marketing offer from a business account.,0.91,message_0337;message_0356
msg_097,digest,personal,"The sender explicitly states that the message is not urgent and requests not to be contacted immediately, making it suitable for a digest.",0.98,none
msg_089,notify,urgent,The message informs the user about a lost item with a specific time deadline for retrieval today.,0.95,message_0086;message_0143
msg_053,mute,spam,Forwarded message with suspicious content patterns detected.,0.9,message_0391;message_0411
msg_059,mute,scam,"High scam indicator score: phishing, credential theft, or social engineering patterns detected.",0.97,message_0115;message_0143
msg_024,mute,promotion,Commercial marketing offer from a business account.,0.91,message_0337;message_0356
msg_072,mute,scam,"High scam indicator score: phishing, credential theft, or social engineering patterns detected.",0.97,message_0115;message_0143
msg_036,mute,spam,"High scam indicator score: phishing, credential theft, or social engineering patterns detected.",0.97,message_0128;message_0283
msg_076,mute,spam,"High scam indicator score: phishing, credential theft, or social engineering patterns detected.",0.97,message_0208;message_0160
msg_055,notify,urgent,"The message explicitly requests an urgent call within a ten-minute window, indicating high time-sensitivity.",0.95,none
msg_102,notify,urgent,"The message requires the user to remain online for a specific 30-minute window to monitor a technical rollback, making it time-sensitive.",0.95,message_0117;message_0249
msg_080,notify,urgent,Time-sensitive request to move a vehicle within 10 minutes to avoid security intervention.,0.95,none
msg_093,notify,business_update,Legitimate order fulfillment or delivery status notification.,0.91,none
msg_034,mute,greeting,Highly forwarded chain message or viral spam with no personal relevance.,0.94,message_0077;message_0040
